??,???_before,???_after,??????,??_before,??_after
視,1,0,み、みる,,#その他
視,1,0,み、みる,#調和,#調和
試,1,0,,,#その他
誌,1,0,,,#その他
歯,1,0,,,#その他
寺,1,0,てら,,#その他
爾,1,0,,,#その他
而,1,0,,#調和,#調和
耳,1,0,,,#その他
柴,1,0,しば,#自然,#自然
寂,1,0,しずか,#調和,#調和
手,1,0,た、て,,#その他
酒,1,0,,#調和,#調和
首,1,0,,#品格,#品格
儒,1,0,みつ,,#その他
需,1,0,,,#その他
就,1,0,なり、なる,,#その他
衆,1,0,,,#その他
蹴,1,0,,,#その他
酬,1,0,,#品格,#品格
従,1,0,より,,#その他
銃,1,0,,,#その他
叔,1,0,,,#その他
祝,1,0,いわい、はじめ、のり,,#その他
術,1,0,みち,#知性,#知性
循,1,0,したがう,,#その他
処,1,0,すみ、なり,,#その他
庶,1,0,もる、もろ,#飛躍,#飛躍
諸,1,0,もろ,,#その他
除,1,0,,,#その他
庄,1,0,,#調和,#調和
肖,1,0,あやか、たかし,#調和,#調和
衝,1,0,,,#その他
蒸,1,0,,,#その他
埴,1,0,はに,,#その他
殖,1,0,しげる,,#その他
食,1,0,,,#その他
審,1,0,あきら,,#その他
神,1,0,かみ、こう、しん,,#その他
薪,1,0,,#調和,#調和
震,1,0,,,#その他
諏,1,0,すすむ,#調和,#調和
逗,1,0,,,#その他
吹,1,0,,,#その他
推,1,0,すすむ,#知性,#知性
数,1,0,kazu,,#その他
雀,1,0,,,#その他
畝,1,0,せ,#調和,#調和
是,1,0,,#品格,#品格
請,1,0,,,#その他
逝,1,0,,,#その他
隻,1,0,,#調和,#調和
切,1,0,きり,,#その他
設,1,0,なり,#調和,#調和
説,1,0,とき,,#その他
占,1,0,うら,#知性,#知性
潜,1,0,,,#その他
薦,1,0,すすむ,#調和,#調和
銑,1,0,,,#その他
繕,1,0,,,#その他
叢,1,0,,,#その他
宋,1,0,,#調和,#調和
槍,1,0,,,#その他
漕,1,0,こぐ,,#その他
窓,1,0,まど,#調和,#調和
贈,1,0,,,#その他
測,1,0,はかる,#信念,#信念
卒,1,0,,,#その他
其,1,0,,#調和,#調和
孫,1,0,まご,#自然,#自然
他,1,0,,,#その他
体,1,0,なり,,#その他
耐,1,0,,,#その他
退,1,0,,,#その他
黛,1,0,まゆ、まゆずみ,#自然,#自然
托,1,0,,#調和,#調和
単,1,0,,,#その他
坦,1,0,あきら、たいら、ひろし,,#その他
断,1,0,さだ、ただ,,#その他
値,1,0,,,#その他
蓄,1,0,,,#その他
秩,1,0,つね,#調和,#調和
鋳,1,0,,,#その他
猪,1,0,い、いの,,#その他
猪,1,0,い、いの,,#その他
著,1,0,あき、あきら、しげ、つぐ,,#その他
張,1,0,はる,#調和,#調和
彫,1,0,えみ、ほる,#調和,#調和
徴,1,0,あきら,,#その他
町,1,0,まち,#調和,#調和
眺,1,0,ながむ,#自然,#自然
脹,1,0,,,#その他
鳥,1,0,,#調和,#調和
塚,1,0,つか,,#その他
辻,1,0,つじ,#調和,#調和
停,1,0,,,#その他
堤,1,0,つつみ,,#その他
摘,1,0,,,#その他
添,1,0,そえ,,#その他
転,1,0,,,#その他
嶋,1,0,しま,#水景,#水景
答,1,0,,,#その他
筒,1,0,つつ,#自然,#自然
頭,1,0,,,#その他
動,1,0,いさみ、すすむ,#調和,#調和
銅,1,0,,,#その他
匿,1,0,,,#その他
薙,1,0,なぎ,#調和,#調和
捺,1,0,なつ,,#その他
馴,1,0,,#品格,#品格
弐,1,0,,#調和,#調和
入,1,0,い、いり、しお,,#その他
祢,1,0,ね,#品格,#品格
濃,1,0,,#調和,#調和
農,1,0,,,#その他
播,1,0,,,#その他
背,1,0,,,#その他
配,1,0,,#調和,#調和
迫,1,0,,,#その他
箸,1,0,,,#その他
半,1,0,,#幸福,#幸福
班,1,0,,,#その他
肥,1,0,,#幸福 #飛躍,#幸福 #飛躍
被,1,0,,,#その他
尾,1,0,お,,#その他
琵,1,0,,,#その他
畢,1,0,あきら,#幸福,#幸福
豹,1,0,,#調和,#調和
父,1,0,たか、のり,,#その他
赴,1,0,,,#その他
阜,1,0,,#飛躍,#飛躍
撫,1,0,,,#その他
蕪,1,0,,,#その他
部,1,0,,,#その他
副,1,0,つぎ,#調和,#調和
復,1,0,また,,#その他
丙,1,0,,,#その他
蔽,1,0,,,#その他
別,1,0,,,#その他
片,1,0,かた,,#その他
編,1,0,,,#その他
圃,1,0,,#自然,#自然
補,1,0,,,#その他
慕,1,0,した、したう,#信念,#信念
戊,1,0,つちのえ,#調和,#調和
倣,1,0,,,#その他
報,1,0,つぐ,,#その他
捧,1,0,ささぐ,,#その他
鋒,1,0,,,#その他
謀,1,0,,,#その他
貌,1,0,,,#その他
卜,1,0,うら,,#その他
牧,1,0,まき,#調和,#調和
堀,1,0,ほり,,#その他
幌,1,0,,#水景 #飛躍,#水景 #飛躍
毎,1,0,つね,#調和,#調和
蔓,1,0,つる,,#その他
毛,1,0,,,#その他
夜,1,0,,#調和,#調和
猶,1,0,なお,,#その他
邑,1,0,むら,#調和,#調和
輿,1,0,,,#その他
用,1,0,もち,#知性,#知性
淀,1,0,よど,,#その他
覧,1,0,み、みる,,#その他
離,1,0,,,#その他
略,1,0,おさむ,#調和,#調和
劉,1,0,,#調和,#調和
留,1,0,とめ,#調和,#調和
僚,1,0,つかさ、とも、りょう,#色彩 #調和,#色彩 #調和
隣,1,0,,#調和,#調和
類,1,0,,,#その他
冷,1,0,,#調和,#調和
零,1,0,,#水景,#水景
齢,1,0,,,#その他
憐,1,0,,#慈愛,#慈愛
楼,1,0,たか,,#その他
麓,1,0,,,#その他
録,1,0,,#知性,#知性
論,1,0,,,#その他
乘,1,0,,,#その他
兒,1,0,こ,,#その他
刹,1,0,,#知性,#知性
奧,1,0,おき,#水景,#水景
恆,1,0,つね、ひさ,,#その他
曖,1,0,,,#その他
鬱,1,0,,,#その他
爲,1,0,なり、なる,,#その他
箋,1,0,,,#その他
緻,1,0,おさむ,,#その他
縣,1,0,あがた,,#その他
與,1,0,あたえ、あと,,#その他
諧,1,0,かず、とも,,#その他
徵,1,0,あきら,,#その他
涉,1,0,わたる,,#その他
