1800:項 (Tags: #天空, Mean: うなじ。項目。　※事務的すぎて不向き)
1847:揚 (Tags: #知性, Mean: あがる。あげる。高く掲げる。)
1848:楕 (Tags: #調和, Mean: だえん。　※無機質すぎて不向き)
1849:碓 (Tags: #調和, Mean: うす。　※事務的・古風すぎて不向き)
1850:廊 (Tags: #幸福, Mean: わたどの。廊下。　※事務的すぎて不向き)
1851:湾 (Tags: #水景, Mean: いりうみ。まがり。港。)
1852:渦 (Tags: #水景, Mean: うず。うずまき。まきこむ。　※不安定なため不向き)
1853:煤 (Tags: #調和, Mean: すす。けむり。　※名付けに不適切)
1854:堪 (Tags: #勇壮 #飛躍, Mean: たえる。こらえる。すぐれる。)
1855:款 (Tags: #信念 #幸福, Mean: たたく。まこと。しるす。　※事務的（約款など）すぎて不向き)
1856:蒙 (Tags: #調和, Mean: くらい。おおう。おろか。　※名付けに不適切)
1857:暁 (Tags: #天空 #知性, Mean: あかつき。夜明け。待ち望んだ時。)
1858:琴 (Tags: #調和, Mean: こと。弦楽器。)
1859:碗 (Tags: #調和, Mean: わん。器。　※事務的すぎて不向き)
1860:碎 (Tags: #調和, Mean: くだく。くだける。※「砕」の旧字体。※名付けに不適切)
1861:搖 (Tags: #調和, Mean: ゆれる。うごく。※「揺」の旧字体。※不安定なため不向き)
1862:傘 (Tags: #水景, Mean: かさ。　※事務的すぎて不向き)
1863:滋 (Tags: #天空, Mean: しげる。うるおう。増える。)
1864:循 (Tags: #慈愛, Mean: めぐる。したがう。　※事務的すぎて不向き)
1865:裝 (Tags: #調和, Mean: よそおう。かざる。※「装」の旧字体。※事務的すぎて不向き)
1866:暑 (Tags: #調和, Mean: あつい。なつ。※「暑」の異体字。※名付けに不向き)
1867:煮 (Tags: #調和, Mean: にる。たく。※「煮」の異体字。※事務的すぎて不向き)
1868:碑 (Tags: #調和, Mean: いしぶみ。※「碑」の異体字。※墓石等を連想させ不向き)
1869:鳴 (Tags: #調和, Mean: なる。なく。響く。)
1870:喪 (Tags: #幸福, Mean: も。うしなう。　※名付けに不適切)
1871:様 (Tags: #調和, Mean: さま。かたち。　※事務的な敬称のため不向き)
1872:関 (Tags: #調和, Mean: せき。つながる。かかわる。)
1873:歴 (Tags: #調和, Mean: へる。あきらか。　※事務的すぎて不向き)
1874:境 (Tags: #調和, Mean: さかい。場所。ありさま。)
1875:銭 (Tags: #調和, Mean: ぜに。おかね。　※名付けに不適切)
1876:筒 (Tags: #自然, Mean: つつ。竹の管。　※名付けには珍しい)
1877:棟 (Tags: #品格 #飛躍, Mean: むね。家の中心となる柱。棟。)
1878:廃 (Tags: #天空, Mean: すたれる。やめる。　※名付けに不適切)
1879:総 (Tags: #調和, Mean: すべて。まとめる。)
1880:増 (Tags: #調和, Mean: ふえる。ます。　※事務的すぎて不向き)
1881:雰 (Tags: #天空 #水景, Mean: きり。雰囲気。　※名付けには不向き)
1882:像 (Tags: #調和, Mean: かたち。すがた。　※事務的すぎて不向き)
1883:適 (Tags: #調和, Mean: かなう。ふさわしい。　※事務的すぎて不向き)
1884:愉 (Tags: #幸福, Mean: たのしい。喜ぶ。)
1885:裕 (Tags: #飛躍, Mean: ゆたか。ゆとりがある。)
1886:磁 (Tags: #調和, Mean: じしゃく。磁石。　※無機質すぎて不向き)
1887:障 (Tags: #調和, Mean: さわる。ふせぐ。さまたげる。　※名付けに不適切)
1888:層 (Tags: #調和, Mean: かさなり。重なり。　※事務的すぎて不向き)
1889:塁 (Tags: #自然, Mean: とりで。城壁。重ねる。)
1890:嵐 (Tags: #天空 #水景, Mean: あらし。強い風。激しい勢い。)
1891:椅 (Tags: #自然, Mean: いす。　※事務的すぎて不向き)
1892:媛 (Tags: #品格 #色彩, Mean: ひめ。貴い女性。美しい女性。)
1893:認 (Tags: #調和, Mean: みとめる。したためる。　※事務的すぎて不向き)
1894:箇 (Tags: #調和, Mean: 個。ひとつひとつ。　※事務的すぎて不向き)
1895:需 (Tags: #調和, Mean: もとめる。まつ。　※事務的すぎて不向き)
1896:摘 (Tags: #調和, Mean: つむ。つまみだす。　※事務的すぎて不向き)
1897:髪 (Tags: #調和, Mean: かみ。頭髪。　※解剖学的すぎて不適切)
1898:罰 (Tags: #調和, Mean: ばつ。罪に対する処罰。　※名付けに不適切)
1899:網 (Tags: #調和, Mean: あみ。組織。　※事務的すぎて不向き)
