漢字,名のり_before,名のり_after,分類_before,分類_after,不適切_before,不適切_after
震,おと なり なる のぶ,おと なり なる のぶ,,#その他,1,0
群,とも もと,とも もと,,#その他,1,0
衝,つぎ みち,つぎ みち,,#その他,1,0
請,うけ もとむ,うけ もとむ,,#その他,1,0
潜,すみ ひそみ ひそむ,すみ ひそみ ひそむ,,#その他,1,0
鋳,い,い,,#その他,1,0
稼,たか たね,たか たね,,#その他,1,0
蓄,おき,おき,,#その他,1,0
箸,あき あきら つく,あき あきら つく,,#その他,1,0
蕎,そ,そ,,#その他,1,0
播,はん ひろ まき,はん ひろ まき,,#その他,1,0
劉,のぶ みずち,のぶ みずち,#調和,#調和,1,0
零,しずく,しずく,#水景,#水景,1,0
酬,あつ,あつ,#品格,#品格,1,0
薪,し たき,し たき,#調和,#調和,1,0
濃,あつ あつし,あつ あつし,#調和,#調和,1,0
隣,さと ただ ちか ちかし なが,さと ただ ちか ちかし なが,#調和,#調和,1,0
薦,,すすむ,#調和,#調和,1,0
馴,すなお よし,すなお よし,#品格,#品格,1,0
幌,あき あきら,あき あきら,#水景 #飛躍,#水景 #飛躍,1,0
薙,なぎ,なぎ,#調和,#調和,1,0
蒲,,かば,#自然,#自然,1,0
縣,,あがた,,#その他,1,0
奧,,おき,#水景,#水景,1,0
與,,あたえ あと,,#その他,1,0
齢,なか よ,なか よ,,#その他,1,0
説,,とき,,#その他,1,0
雑,かず とも,かず とも,,#その他,1,0
繕,おさむ つよし よし,おさむ つよし よし,,#その他,1,0
徴,,あきら,,#その他,1,0
鎌,かね,かね,,#その他,1,0
叢,しげ むら,しげ むら,,#その他,1,0
魂,,たま,#信念,#信念,1,0
慕,,した したう,#信念,#信念,1,0
酷,あつ,あつ,,#その他,1,0
銃,かね,かね,,#その他,1,0
蹴,ける,ける,,#その他,1,0
僚,あきら,あきら,#色彩 #調和,#色彩 #調和,1,0
纂,,あつむ,,#その他,1,0
槍,しょう,しょう,,#その他,1,0
嶋,と,と,#水景,#水景,1,0
蔓,,つる,,#その他,1,0
戊,,つちのえ,#調和,#調和,1,0
漢,,くに とも,#水景,#水景,1,0
曲,,こと,#調和,#調和,1,0
而,しか なお ゆき,しか なお ゆき,#調和,#調和,1,0
別,のぶ わき,のぶ わき,,#その他,1,0
億,かず はかる やす やすし,かず はかる やす やすし,#信念,#信念,1,0
冷,すずし,すずし,#調和,#調和,1,0
宋,おき くに,おき くに,#調和,#調和,1,0
牧,,まき,#調和,#調和,1,0
慰,,やす,#天空 #慈愛,#天空 #慈愛,1,0
挙,しげ すすむ たか たつ ひら みな,しげ すすむ たか たつ ひら みな,#調和,#調和,1,0
断,,さだ ただ,,#その他,1,0
審,あき あきら,あき あきら,,#その他,1,0
諏,,すすむ,#調和,#調和,1,0
薗,え,え,#調和,#調和,1,0
干,,もと,,#その他,1,0
片,,かた,,#その他,1,0
皿,,さら,,#その他,1,0
旧,,もと,#調和,#調和,1,0
寺,,てら,,#その他,1,0
毎,,つね,#調和,#調和,1,0
弐,すけ,すけ,#調和,#調和,1,0
庄,まさ,まさ,#調和,#調和,1,0
托,ひろ もり,ひろ もり,#調和,#調和,1,0
辻,,つじ,#調和,#調和,1,0
町,,まち,#調和,#調和,1,0
坂,,さか,,#その他,1,0
蔽,さだむ,さだむ,,#その他,1,0
嬉,よし,よし,#幸福,#幸福,1,0
尾,,お,,#その他,1,0
岐,みち,みち,#調和,#調和,1,0
呉,くに,くに,#調和,#調和,1,0
肖,あえ あゆ あれ すえ たか のり ゆき,あえ あゆ あれ すえ たか のり ゆき,#調和,#調和,1,0
邑,さと さとし すみ,さと さとし すみ,#調和,#調和,1,0
撫,やす よし,やす よし,,#その他,1,0
蕪,しげ しげる,しげ しげる,,#その他,1,0
夜,やす,やす,#調和,#調和,1,0
鋒,さき,さき,,#その他,1,0
具,とも,とも,#調和,#調和,1,0
穀,,よし,,#その他,1,0
徵,,あきら,,#その他,1,0
頭,あき あきら はじめ,あき あきら はじめ,,#その他,1,0
肯,さき むね,さき むね,,#その他,1,0
機,,のり,,#その他,1,0
録,とし ふみ,とし ふみ,#知性,#知性,1,0
叔,すえ はじめ よし,すえ はじめ よし,,#その他,1,0
庚,か つぐ みちる やす,か つぐ みちる やす,,#その他,1,0
謀,こと のぶ,こと のぶ,,#その他,1,0
儒,,みつ,,#その他,1,0
諧,かのう ゆき,かのう ゆき,,#その他,1,0
緻,,おさむ,,#その他,1,0
赴,はや ゆき,はや ゆき,,#その他,1,0
黛,,まゆ まゆずみ,#自然,#自然,1,0
酒,み,み,#調和,#調和,1,0
憐,れ,れ,#慈愛,#慈愛,1,0
翁,おい おき とし ひと,おい おき とし ひと,#調和,#調和,1,0
秩,,つね,#調和,#調和,1,0
豹,はだら,はだら,#調和,#調和,1,0
魚,いお お な,いお お な,#調和,#調和,1,0
鳥,と,と,#調和,#調和,1,0
懇,,ねんごろ,#信念,#信念,1,0
祭,,まつり,#調和,#調和,1,0
動,いつ,いつ,#調和,#調和,1,0
副,すえ すけ つぎ ます,すえ すけ つぎ ます,#調和,#調和,1,0
寄,,より,#調和,#調和,1,0
許,すすむ ゆく,すすむ ゆく,#調和,#調和,1,0
採,,とる,#調和,#調和,1,0
設,,なり,#調和,#調和,1,0
張,つよ とも はる,つよ とも はる,#調和,#調和,1,0
略,,おさむ,#調和,#調和,1,0
視,のり み みる よし,のり み みる よし,#調和,#調和,1,0
寂,,しずか,#調和,#調和,1,0
添,,そえ,,#その他,1,0
郭,ひろ ひろし,ひろ ひろし,,#その他,1,0
輿,お よ,お よ,,#その他,1,0
勘,,さだ さだのり なり,,#その他,1,0
埴,,はに,,#その他,1,0
捺,とし,とし,,#その他,1,0
捧,,ささぐ,,#その他,1,0
簡,,あきら,,#その他,1,0
贈,たま ます,たま ます,,#その他,1,0
答,さと とし とみ とも のり,さと とし とみ とも のり,,#その他,1,0
営,,あきら,,#その他,1,0
復,,また,,#その他,1,0
報,,つぐ,,#その他,1,0
就,,なり なる,,#その他,1,0
塚,,つか,,#その他,1,0
猶,,なお,,#その他,1,0
鎧,が,が,,#その他,1,0
葛,かず かつ かつら かど さち ずら つた つら ふじ,かず かつ かつら かど さち ずら つた つら ふじ,,#その他,1,0
堺,,さかい,,#その他,1,0
誌,ふみ,ふみ,,#その他,1,0
警,さとし ただし,さとし ただし,,#その他,1,0
諸,つら もり,つら もり,,#その他,1,0
論,さだむ さとし さとる とき のり ゆう,さだむ さとし さとる とき のり ゆう,,#その他,1,0
憩,やす,やす,,#その他,1,0
艶,え よし,え よし,,#その他,1,0
鴨,,かも,,#その他,1,0
麓,ろ,ろ,,#その他,1,0
覧,,み みる,,#その他,1,0
議,かた さだむ のり,かた さだむ のり,,#その他,1,0
饗,,あきら,,#その他,1,0
競,きそう つよし,きそう つよし,,#その他,1,0
懸,かける,かける,,#その他,1,0
鷺,,さぎ,,#その他,1,0
鬱,しげる,しげる,,#その他,1,0
