篠 (Tags: #自然, Mean: しの。細い竹。しなやかで強い。)
滑 (Tags: #調和, Mean: すべる。なめらか。)
稚 (Tags: #調和, Mean: わかい。おさない。　※「未熟」の意があるため慎重に)
禮 (Tags: #信念 #品格, Mean: れい。うやまう。※「礼」の旧字体。)
轉 (Tags: #天空, Mean: ころがる。※「転」の旧字体。※不安定なため不向き)
壘 (Tags: #自然, Mean: とりで。※「塁」の旧字体。※事務的すぎて不向き)
演 (Tags: #調和, Mean: のべる。行う。広める。)
簞 (Tags: #自然, Mean: はこの名。※「箪」の旧字体。※不向き)
蟬 (Tags: #色彩, Mean: せみ。※「蝉」の旧字体。※動物的すぎて不向き)
際 (Tags: #調和, Mean: きわ。まじわる。)
誌 (Tags: #調和, Mean: しるす。記録。　※事務的すぎて不向き)
鏡 (Tags: #知性, Mean: かがみ。あきらか。鑑。)
識 (Tags: #知性, Mean: しる。見分ける。知恵。)
警 (Tags: #知性, Mean: いましめる。さとい。　※事務的（警察等）すぎて不向き)
窪 (Tags: #調和, Mean: くぼ。くぼみ。　※地形を指すため名付けには慎重に)
蔣 (Tags: #調和, Mean: まこも。植物の名。※苗字の印象が強く慎重に)
諸 (Tags: #調和, Mean: もろもろ。多くの。　※事務的すぎて不向き)
霧 (Tags: #天空 #水景, Mean: きり。きり。幻想的。)
麗 (Tags: #天空 #色彩, Mean: うるわしい。あざやか。美しい。)
論 (Tags: #調和, Mean: とく。あきらかにする。　※事務的すぎて不向き)
鯨 (Tags: #勇壮, Mean: くじら。大海の王。壮大。)
趣 (Tags: #調和, Mean: おもむき。おもむく。　※事務的すぎて不向き)
瀬 (Tags: #水景, Mean: せ。浅瀬。流れ。)
