漱 (Tags: #水景, Mean: くちすすぐ。洗う。)
慮 (Tags: #信念 #天空, Mean: おもんぱかる。考える。　※事務的すぎて不向き)
慰 (Tags: #天空 #慈愛, Mean: なぐさめる。安らぐ。　※「慰労」等の印象が強く慎重に)
閲 (Tags: #天空, Mean: けみする。調べる。　※事務的すぎて不向き)
挙 (Tags: #調和, Mean: あげる。おこなう。すぐれる。)
俳 (Tags: #調和, Mean: わざおぎ。役者。俳句。)
紋 (Tags: #調和, Mean: あや。模様。しるし。)
倹 (Tags: #調和, Mean: つつしむ。つましい。)
凄 (Tags: #調和, Mean: すさまじい。さむい。　※名付けには不適切)
潤 (Tags: #品格, Mean: うるおう。めぐみ。ゆたか。)
遵 (Tags: #信念 #品格, Mean: したがう。のっとる。守る。)
断 (Tags: #調和, Mean: たつ。きめる。きっぱり。)
舶 (Tags: #調和, Mean: 大きなふね。外国の船。)
審 (Tags: #知性, Mean: あきらか。しらべる。　※事務的（審判等）すぎて不向き)
穂 (Tags: #自然 #飛躍, Mean: ほ。稲穂。実り。)
須 (Tags: #調和, Mean: もちいる。必要。しばらく。)
畿 (Tags: #調和, Mean: みやこ。天子の直轄地。)
鞍 (Tags: #調和, Mean: くら。馬の背に置く座。)
